bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  this.labelDistributor);  [CE]  method  getLabelPaint  in  class  PiePlot  cannot  be  applied  to  given  types;  [FE]            AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  this.labelDistributor);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  this.labelDistributor);	  PiePlot    labelPaint    =    getLabelPaint(this.labelFont);    	non-compiled	[CE]  method  getLabelPaint  in  class  PiePlot  cannot  be  applied  to  given  types;	13	None	replace
2	[BUG]  [BUGGY]  PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  DEFAULT_LABEL_FONT);  [CE]  method  getLabelPaint  in  class  PiePlot  cannot  be  applied  to  given  types;  [FE]              AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  DEFAULT_LABEL_FONT);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	PiePlot  labelPaint  =  getLabelPaint(this.labelFont,  DEFAULT_LABEL_FONT);	  PiePlot    labelPaint    =    getLabelPaint(this.labelFont);    	non-compiled	[CE]  method  getLabelPaint  in  class  PiePlot  cannot  be  applied  to  given  types;	13	None	replace
3	[BUG]  [BUGGY]  return  this.labelFont  /  getLabelGap();  [CE]  bad  operand  types  for  binary  operator  '/'  [FE]              AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  return  this.labelFont  /  getLabelGap();  [BUGGY]      }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	return  this.labelFont  /  getLabelGap();	  return    this.labelFont    *    getLabelGap();    	non-compiled	[CE]  bad  operand  types  for  binary  operator  '/'	9	None	replace
4	[BUG]  [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);  [CE]  cannot  find  symbol  DEFAULT_LABEL_BACKGROUND  [FE]              AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);	  this.labelGap    =    new    PiePlot(DEFAULT_LABEL_FONT,    DEFAULT_LABEL_FONT);    	non-compiled	[CE]  cannot  find  symbol  DEFAULT_LABEL_BACKGROUND	19	None	replace
5	[BUG]  [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_SHADOW_PAINT);  [CE]  no  suitable  constructor  found  for  PiePlot(Font,Paint)  [FE]                AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_SHADOW_PAINT);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_SHADOW_PAINT);	  this.labelGap    =    new    PiePlot(DEFAULT_LABEL_FONT,    DEFAULT_LABEL_FONT);    	non-compiled	[CE]  no  suitable  constructor  found  for  PiePlot(Font,Paint)	19	None	replace
6	[BUG]  [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT,  this.labelFont);  [CE]  no  suitable  constructor  found  for  PiePlot(Font,Paint,Font)  [FE]                AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT,  this.labelFont);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  new  PiePlot(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT,  this.labelFont);	  this.labelGap    =    new    PiePlot(DEFAULT_LABEL_FONT,    this.labelFont);    	non-compiled	[CE]  no  suitable  constructor  found  for  PiePlot(Font,Paint,Font)	12	None	replace
7	[BUG]  [BUGGY]  this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);  [CE]  cannot  find  symbol  DEFAULT_LABEL_BACKGROUND  [FE]        StackOverflowError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND);	          this.labelGap    =    getLabelGap();    this.labelGap    =    getLabelGap(    DEFAULT_LABEL_FONT);    	non-compiled	[CE]  cannot  find  symbol  DEFAULT_LABEL_BACKGROUND	29	None	replace
8	[BUG]  [BUGGY]  this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT);  [CE]  method  getLabelGap  in  class  PiePlot  cannot  be  applied  to  given  types;  [FE]          StackOverflowError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  getLabelGap(DEFAULT_LABEL_FONT,  DEFAULT_LABEL_BACKGROUND_PAINT);	          this.labelGap    =    getLabelGap();    this.labelGap    =    getLabelGap(    DEFAULT_LABEL_FONT);    	non-compiled	[CE]  method  getLabelGap  in  class  PiePlot  cannot  be  applied  to  given  types;	29	None	replace
9	[BUG]  [BUGGY]  double  labelGap  =  this.labelGap  +  1;  [CE]  missing  return  statement  [FE]        AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  double  labelGap  =  this.labelGap  +  1;  [BUGGY]      }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	double  labelGap  =  this.labelGap  +  1;	  return    this.labelGap    +    1;    double    labelGap    =    this.labelGap    +    1;    	non-compiled	[CE]  missing  return  statement	27	None	replace
10	[BUG]  [BUGGY]  this.labelGap  =  getLabelGap(true,  false);  [CE]  method  getLabelGap  in  class  PiePlot  cannot  be  applied  to  given  types;  [FE]              AssertionFailedError      [CONTEXT]      public  double  getLabelGap()  {      [BUGGY]  this.labelGap  =  getLabelGap(true,  false);  [BUGGY]      return  this.labelGap;  }  [CLASS]  PiePlot  [METHOD]  getLabelGap  [RETURN_TYPE]  double  [VARIABLES]  PieURLGenerator  legendLabelURLGenerator  urlGenerator  Stroke  DEFAULT_LABEL_OUTLINE_STROKE  baseSectionOutlineStroke  labelLinkStroke  labelOutlineStroke  result  stroke  PieSectionLabelGenerator  generator  labelGenerator  legendLabelGenerator  legendLabelToolTipGenerator  Shape  legendItemShape  double  DEFAULT_INTERIOR_GAP  DEFAULT_MINIMUM_ARC_ANGLE_TO_DRAW  DEFAULT_START_ANGLE  MAX_INTERIOR_GAP  angle  interiorGap  labelGap  labelLinkMargin  maximumLabelWidth  minimumArcAngleToDraw  offset  percent  result  shadowXOffset  shadowYOffset  startAngle  AbstractPieLabelDistributor  labelDistributor  Paint  DEFAULT_LABEL_BACKGROUND_PAINT  DEFAULT_LABEL_OUTLINE_PAINT  DEFAULT_LABEL_PAINT  DEFAULT_LABEL_SHADOW_PAINT  baseSectionOutlinePaint  baseSectionPaint  labelBackgroundPaint  labelLinkPaint  labelOutlinePaint  labelPaint  labelShadowPaint  paint  result  shadowPaint  Rotation  direction  long  serialVersionUID  Font  DEFAULT_LABEL_FONT  labelFont  int  index  pieIndex  section  boolean  DEBUG_DRAW_INTERIOR  DEBUG_DRAW_LINK_AREA  DEBUG_DRAW_PIE_AREA  autoPopulate  circular  flag  ignoreNullValues  ignoreZeroValues  labelLinksVisible  notify  sectionOutlinesVisible  simpleLabels  visible  PieToolTipGenerator  toolTipGenerator  PieDataset  dataset  existing  PaintMap  sectionOutlinePaintMap  sectionPaintMap  RectangleInsets  labelPadding  simpleLabelOffset  ResourceBundle  localizationResources  Map  explodePercentages  StrokeMap  sectionOutlineStrokeMap  	projects/Chart15/source/org/jfree/chart/plot/PiePlot.java	1.0	1423	1423	1	replace	this.labelGap  =  getLabelGap(true,  false);	  this.labelGap    =    getLabelGap(false,    false);    	non-compiled	[CE]  method  getLabelGap  in  class  PiePlot  cannot  be  applied  to  given  types;	14	None	replace
