compilation error,173,replace,[CE] cannot find symbol, this.domain  = "domain ";  ,this.domain = domain +"".equals(name.getDomain());
patch is same with buggy,175,replace,, this.maximumItemCount  =  Integer.MAX_VALUE;  ,this.maximumItemCount = Integer.MAX_VALUE;
compilation error,175,replace,[CE] possible loss of precision, this.maximumItemCount  =  Integer.MAX_VALUE;  ,this.maximumItemCount = Long.MAX_VALUE;
patch is same with buggy,740,replace,, long  maximumItemAge  =  getTimePeriod(getItemCount()  -  1).getSerialIndex();  ,long maximumItemAge = getTimePeriod(getItemCount() - 1).getSerialIndex();
compilation error,740,replace,[CE] cannot find symbol removed, long  maximumItemAge  =  getTimePeriod(getItemCount()  -  1).getSerialIndex();  ,long maximumItemAge = getTimePeriod(getItemCount() / 1).getSerialIndex();
patch is same with buggy,602,replace,, item.setValue(value);  fireSeriesChanged();  ,item.setValue(value); fireSeriesChanged();
patch is same with buggy,508,replace,, fireSeriesChanged();  ,fireSeriesChanged();
compilation error,508,replace,[CE] cannot find symbol, fireSeriesChanged();  ,recalculateBounds();
patch is same with buggy,739,replace,, long  maximum  =  getTimePeriod(0).getSerialIndex();  ,long maximum = getTimePeriod(0).getSerialIndex();
compilation error,739,replace,[CE] cannot find symbol latest, long  maximum  =  getTimePeriod(0).getSerialIndex();  ,long maximum = getTimePeriod(1).getSerialIndex();
patch is same with buggy,543,replace,, if(!notify)  {  ,if(!notify) {
compilation error,543,replace,[CE] illegal start of expression, if(!notify)  {  ,if(!notify) }
compilation error,879,add,[CE] not a statement, ,if(end < start) { throw new IllegalArgumentException( " "); bodied
compilation error,174,replace,[CE] cannot find symbol, this.range  =  domain;  ,this.data = new java.util.ArrayListWithCapacity(2);
compilation error,586,add,[CE] cannot find symbol, ,setValue(period, value, false);
compilation error,512,replace,[CE] , RegularTimePeriod  first  =  getTimePeriod(getItemCount()  -  1);  ,RegularTimePeriod first = getTimePeriod(getItemCount());
patch is same with buggy,512,replace,, RegularTimePeriod  first  =  getTimePeriod(getItemCount()  -  1);  ,RegularTimePeriod first = getTimePeriod(getItemCount() - 1);
patch is same with buggy,172,replace,, super(name,  domain);  ,super(name, domain);
compilation error,172,replace,[CE] no suitable constructor found for Series(Comparable,String,String), super(name,  domain);  ,super(name, domain, range);
compilation error,174,add,[CE] cannot find symbol TimePeriodClass, ,this.TimePeriodClass = timePeriodClass;
compilation error,174,add,[CE] cannot find symbol timePeriodclass, ,this.timePeriodClass = timePeriodclass;
patch is same with buggy,238,replace,, int  maximumItemCount  =  this.data.size();  ,int maximumItemCount = this.data.size();
compilation error,238,replace,[CE] missing return statement, int  maximumItemCount  =  this.data.size();  ,int maximumItemCount = this.data.size() - 1;
compilation error,175,replace,[CE] cannot find symbol, this.domain  =  domain;  this.range  =  range;  ,this.data = new java.util.ArrayListWithCapacity(2);
patch is same with buggy,601,replace,, item.setValue(value);  ,item.setValue(value);
patch is same with buggy,534,replace,, fireSeriesChanged();  ,fireSeriesChanged();
compilation error,534,replace,[CE] class or interface expected, fireSeriesChanged();  ,fireSeriesChanged("TimeSeriesDataItem");
patch is same with buggy,880,replace,, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,if(end > start) { throw new IllegalArgumentException("Requires start <= end. "); }
patch is same with buggy,880,replace,, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,if(end > start) { throw new IllegalArgumentException( "Requires start <= end. "); }
increase failing tests,514,replace, [FE] AssertionFailedError, added  =  false;  ,if(item.getPeriod().compareTo(last)> 0) { this.data.add(item); added = true; }
patch is same with buggy,238,replace,, int  maximumItemCount  =  getMaximumItemCount();  ,int maximumItemCount = getMaximumItemCount();
compilation error,238,replace,[CE] missing return statement, int  maximumItemCount  =  getMaximumItemCount();  ,int maximumItemCount = getMaximumItemCount() - 1;
compilation error,370,replace,[CE] missing return statement, this.data.get(index);  ,this.data.remove(index);
patch is same with buggy,370,replace,, this.data.get(index);  , 
patch is same with buggy,504,replace,, fireSeriesChanged();  ,fireSeriesChanged();
compilation error,504,replace,[CE] cannot find symbol, fireSeriesChanged();  ,updateBounds(item.getPeriod());
increase failing tests,587,add, [FE] ClassCastException, ,this.data.add(period);
compilation error,587,add,[CE] no suitable method found for add(RegularTimePeriod,Number), ,this.data.add(period, value);
compilation error,587,add,[CE] no suitable constructor found for Long(Number), ,this.data.add(period, new Long(value));
compilation error,534,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(" but the series already contains an observation"); b.append(item.getPeriod().toString());
compilation error,534,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(item.getPeriod().toString());
compilation error,534,add,[CE] illegal start of expression, ,if(notify) }
compilation error,534,add,[CE] illegal start of expression, ,if(notify) >>
compilation error,504,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(" but the TimeSeries is expecting an instance of");
compilation error,504,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(", but the TimeSeries is expecting an instance of");
compilation error,738,replace,[CE] class or interface expected, int  count  =  getItemCount();  ,int count = getItemCount() - 1;
compilation error,738,replace,[CE] class or interface expected, int  count  =  getItemCount();  ,int count = getItemCount() / 2;
patch is same with buggy,739,replace,, long  maximumItemAge  =  getTimePeriod(0).getSerialIndex();  ,long maximumItemAge = getTimePeriod(0).getSerialIndex();
compilation error,739,replace,[CE] cannot find symbol latest, long  maximumItemAge  =  getTimePeriod(0).getSerialIndex();  ,long maximumItemAge = getTimePeriod(1).getSerialIndex();
patch is same with buggy,174,replace,, this.range  =  domain;  ,this.range = domain;
patch is same with buggy,880,replace,, throw  new  IllegalArgumentException( "Requires  start  >>  end. ");  , 
compilation error,601,replace,[CE] cannot find symbol, item.setValue(value);  ,item.setData(item); fireSeriesChanged();
patch is same with buggy,601,replace,, item.setValue(value);  , 
compilation error,536,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(item.getPeriod().toString());
compilation error,536,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(" but the series already contains an observation");
increase failing tests,544,replace, [FE] AssertionFailedError,   ,this.data.remove(0);
increase failing tests,879,add, [FE] IllegalArgumentException, ,if(end > start) { throw new IllegalArgumentException(" "); }
compilation error,739,replace,[CE] cannot find symbol latest, long  maximum  =  getTimePeriod(0).getSerialIndex();  ,long maximumItemAge = getTimePeriod(getItemCount() / 1).getSerialIndex();
compilation error,857,add,[CE] no suitable method found for createCopy(int), ,Object clone = createCopy(getItemCount() / 2);
compilation error,857,add,[CE] variable clone is already defined in method clone(), ,Object clone = getDataItem(getItemCount() / 2);
compilation error,880,replace,[CE] not a statement, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,if(end < start) { throw new IllegalArgumentException( " "); bodied else if(end < start) { throw new IllegalArgumentException( " "); }
compilation error,175,add,[CE] cannot find symbol minimumItemCount, ,this.minimumItemCount = Integer.MAX_VALUE;
compilation error,173,replace,[CE] cannot find symbol RANGE_DESCRIPTION, this.domain  = "domain ";  ,this.domain = domain + DEFAULT_DOMAIN_DESCRIPTION + RANGE_DESCRIPTION;
compilation error,540,add,[CE] illegal start of expression, ,if(notify) { fireSeriesChanged(); } ; &/ removeAgedItems(true);// remove old items if necessary, but // don't notify anyone, because that // happens next anyway...
compilation error,540,add,[CE] illegal start of expression, ,if(notify) { fireSeriesChanged(); &/ removeAgedItems(true);// remove old items if necessary, but // don't notify anyone, because that // happens next anyway...
compilation error,540,add,[CE] illegal start of expression, ,if(notify) { fireSeriesChanged(); } ; &/ removeAgedItems(true);// remove old items if needed, but // don't notify anyone, because that // happens next anyway...
compilation error,602,replace,[CE] illegal start of expression, fireSeriesChanged();  ,item.setValue(value);
compilation error,738,add,[CE] illegal start of expression, ,if(getItemCount() > this.maximumItemAge || getTimePeriod(0).getSerialIndex() > this.maximumItemAge) {
compilation error,738,add,[CE] illegal start of expression, ,if(getItemCount() > this.maximumItemAge || getDataItemCount() > this.maximumItemAge) {
compilation error,489,add,[CE] <identifier> expected, ,if(item == null || item.getPeriod().getClass()!= this.timePeriodClass) { throw new IllegalArgumentException( "Null 'item' argument. "); } if(item.getPeriod().getClass().equals(this.
compilation error,489,add,[CE] <identifier> expected, ,if(item == null || item.getPeriod().getClass()!= this.timePeriodClass) { throw new IllegalArgumentException( "Null 'item' argument. "); } if(!item.getPeriod().getClass().
patch is same with buggy,536,replace,, if(getItemCount()  >  this.maximumItemCount  ||  getItemCount()  >  this.maximumItemCount)  {  ,if(getItemCount() > this.maximumItemCount || getItemCount() > this.maximumItemCount) {
patch is same with buggy,880,replace,, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  >=  end. ");  }  ,if(end > start) { throw new IllegalArgumentException("Requires start >= end. "); }
patch is same with buggy,880,replace,, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  >=  end. ");  }  ,if(end > start) { throw new IllegalArgumentException( "Requires start >= end. "); }
patch is same with buggy,540,replace,, fireSeriesChanged();  ,fireSeriesChanged();
compilation error,540,replace,[CE] cannot find symbol, fireSeriesChanged();  ,recalculateBounds(item.getPeriod());
patch is same with buggy,514,replace,, fireSeriesChanged();  ,fireSeriesChanged();
compilation error,514,replace,[CE] cannot find symbol, fireSeriesChanged();  ,updateSeriesChanged();
compilation error,514,add,[CE] cannot find symbol add, ,add = false;
compilation error,514,add,[CE] cannot find symbol adding, ,adding = false;
patch is same with buggy,489,replace,, if(item  ==  null  ||  item.getPeriod().getClass()!=  this.timePeriodClass)  {  ,if(item == null || item.getPeriod().getClass()!= this.timePeriodClass) {
increase failing tests,489,replace, [FE] IllegalArgumentException, if(item  ==  null  ||  item.getPeriod().getClass()!=  this.timePeriodClass)  {  ,if(item!= null || item.getPeriod().getClass()!= this.timePeriodClass) {
compilation error,508,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(",");
compilation error,508,add,[CE] cannot find symbol b, ,fireSeriesChanged(); b.append(":");
patch is same with buggy,508,replace,, added  =  false;  ,added = false;
compilation error,880,replace,[CE] illegal start of expression, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,[Delete]
compilation error,880,replace,[CE] illegal start of expression, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,if(end > start) { if(end > end) { throw new IllegalArgumentException(" "); }
compilation error,740,add,[CE] cannot find symbol last, ,boolean removed =(last == 0)&&(this.data.size() > this.maximumItemAge);
compilation error,740,add,[CE] variable removed is already defined in method removeAgedItems(boolean), ,boolean removed =(latest >= 0)&&(this.data.size() > this.maximumItemAge);
patch is same with buggy,504,replace,, boolean  added  =  true;  ,boolean added = true;
patch is same with buggy,514,replace,, added  =  false;  ,added = false;
patch is same with buggy,492,replace,, if(!item.getPeriod().getClass().isAssignableFrom(this.timePeriodClass))  {  ,if(!item.getPeriod().getClass().isAssignableFrom(this.timePeriodClass)) {
increase failing tests,492,replace, [FE] NullPointerException, if(!item.getPeriod().getClass().isAssignableFrom(this.timePeriodClass))  {  ,if(item.getPeriod().getClass().isAssignableFrom(this.timePeriodClass)) {
compilation error,173,add,[CE] cannot find symbol domino, ,this.domino = domain + DEFAULT_DOMAIN_DESCRIPTION;
compilation error,173,add,[CE] cannot find symbol domin, ,this.domin = domain + DEFAULT_DOMAIN_DESCRIPTION;
increase failing tests,175,replace, [FE] NullPointerException, this.maximumItemCount  =  0;  ,if(this.domain!= null) { this.data = new java.util.ArrayList(); } else { this.data = new java.util.ArrayList(); }
compilation error,172,add,[CE] call to super must be first statement in constructor, ,super(name, range);
compilation error,880,replace,[CE] not a statement, if(end  >  start)  {  throw  new  IllegalArgumentException( "Requires  start  <=  end. ");  }  ,if(end > start) { throw new IllegalArgumentException( "Requires start >= end. "); bodied
patch is same with buggy,857,replace,, Object  clone  =  createCopy(0,  getItemCount()  /  2);  ,Object clone = createCopy(0, getItemCount() / 2);
compilation error,879,add,[CE] not a statement, ,if(start > end) { throw new IllegalArgumentException( " "); bodied
patch is same with buggy,175,replace,, this.domain  =  domain;  this.range  =  range;  ,this.domain = domain; this.range = range;
increase failing tests,175,replace, [FE] NullPointerException, this.domain  =  domain;  this.range  =  range;  ,if(domain!= null) { this.domain = domain; this.range = range; } else { this.domain = domain; this.range = range; }
compilation error,511,add,[CE] illegal start of expression, ,if(item.getPeriod().compareTo(last) > 0) { this.data.add(item); added = true; } else {
compilation error,511,add,[CE] cannot find symbol, ,regularTimePeriod last = getTimePeriod(getItemCount() / 2);
patch is same with buggy,586,replace,, add(period,  value,  false);  , 
