bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  Iterator  <  XYDataset>  iterateDomainBounds  =  this.dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]    NullPointerException    [CONTEXT]        [BUGGY]  Iterator  <  XYDataset>  iterateDomainBounds  =  this.dataset.iterator();  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  XYDataset>  iterateDomainBounds  =  this.dataset.iterator();	          iterateDomainBounds(dataset,    true);    iterateDomainBounds(dataset,    false);    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	35	None	replace
2	[BUG]  [BUGGY]  Iterator  <  XYDataset>  iter  =  dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]        AssertionFailedError      [CONTEXT]        [BUGGY]  Iterator  <  XYDataset>  iter  =  dataset.iterator();  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  XYDataset>  iter  =  dataset.iterator();	  return    iterateDomainBounds(dataset,    false);    Iterator    <    XYDataset>    iter    =    dataset.iterator();    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	14	None	replace
3	[BUG]  [BUGGY]  AssertionFailedError.warning( "Missing  dataset  for  ' "  +  dataset.getName()  + "' ");  [CE]  cannot  find  symbol  [FE]          AssertionFailedError      [CONTEXT]        [BUGGY]  AssertionFailedError.warning( "Missing  dataset  for  ' "  +  dataset.getName()  + "' ");  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	AssertionFailedError.warning( "Missing  dataset  for  ' "  +  dataset.getName()  + "' ");	  return    iterateDomainBounds(dataset,    false);    Iterator    <    XYDataset>    iter    =    dataset.iterator();    	non-compiled	[CE]  cannot  find  symbol	14	None	replace
4	[BUG]  [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds(dataset,  false);  [CE]  generics  are  not  supported  in  -source  1.4  [FE]    java.lang.IllegalArgumentException:  Range(double    [CONTEXT]        [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds(dataset,  false);  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  XYDataset>  iterateRangeBounds(dataset,  false);	          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,    true);    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	10	None	replace
5	[BUG]  [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds(dataset,  true);  [CE]  generics  are  not  supported  in  -source  1.4  [FE]      java.lang.IllegalArgumentException:  Range(double    [CONTEXT]        [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds(dataset,  true);  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  XYDataset>  iterateRangeBounds(dataset,  true);	          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,    true);    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	10	None	replace
6	[BUG]  [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds  =  dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]        NullPointerException      [CONTEXT]        [BUGGY]  Iterator  <  XYDataset>  iterateRangeBounds  =  dataset.iterator();  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  XYDataset>  iterateRangeBounds  =  dataset.iterator();	  iterateRangeBounds(dataset,    false);    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	3	None	replace
7	[BUG]  [BUGGY]  Iterator  <  Range>  iter  =  dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]        AssertionFailedError      [CONTEXT]        [BUGGY]  Iterator  <  Range>  iter  =  dataset.iterator();  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  Range>  iter  =  dataset.iterator();	  return    iterateDomainBounds(dataset,    false);    Iterator    <    Range>    iter    =    dataset.iterator();    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	30	None	replace
8	[BUG]  [BUGGY]  AssertionFailedError.warning( "JSC_FORBIDDEN_ERROR ",  dataset,  false);  [CE]  cannot  find  symbol  AssertionFailedError  [FE]          AssertionFailedError      [CONTEXT]        [BUGGY]  AssertionFailedError.warning( "JSC_FORBIDDEN_ERROR ",  dataset,  false);  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	AssertionFailedError.warning( "JSC_FORBIDDEN_ERROR ",  dataset,  false);	  return    iterateDomainBounds(dataset,    false);    Iterator    <    Range>    iter    =    dataset.iterator();    	non-compiled	[CE]  cannot  find  symbol  AssertionFailedError	30	None	replace
9	[BUG]  [BUGGY]  Iterator  <  Range>  iterator  =  this.dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]        NullPointerException      [CONTEXT]        [BUGGY]  Iterator  <  Range>  iterator  =  this.dataset.iterator();  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  Range>  iterator  =  this.dataset.iterator();	          iterateDomainBounds(dataset,    true);    Iterator    <    Range>    iterator    =    this.dataset.iterator();    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	32	None	replace
10	[BUG]  [BUGGY]  DatasetUtilities.checkState(dataset!=  null);  [CE]  cannot  find  symbol  [FE]                  NullPointerException      [CONTEXT]        [BUGGY]  DatasetUtilities.checkState(dataset!=  null);  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	DatasetUtilities.checkState(dataset!=  null);	  DatasetUtilities.checkState(this.statement!=    null);    	non-compiled	[CE]  cannot  find  symbol	5	None	replace
11	[BUG]  [BUGGY]  return  this.dataset.iterateDomainBounds();  [CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context  [FE]                NullPointerException      [CONTEXT]        [BUGGY]  return  this.dataset.iterateDomainBounds();  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	return  this.dataset.iterateDomainBounds();	  return    dataset.iterateDomainBounds();    	non-compiled	[CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context	28	None	replace
12	[BUG]  [BUGGY]  return  iterateDomainBounds();  [CE]  no  suitable  method  found  for  iterateDomainBounds()  [FE]                  NullPointerException      [CONTEXT]        [BUGGY]  return  iterateDomainBounds();  [BUGGY]      }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	return  iterateDomainBounds();	  return    dataset.iterateDomainBounds();    	non-compiled	[CE]  no  suitable  method  found  for  iterateDomainBounds()	28	None	replace
13	[BUG]  [BUGGY]  Iterator  <  Object>  iterator  =  dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]        NullPointerException      [CONTEXT]        [BUGGY]  Iterator  <  Object>  iterator  =  dataset.iterator();  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	Iterator  <  Object>  iterator  =  dataset.iterator();	  Iterator    <    Object>    iterator    =    this.dataset.iterator();    	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	41	None	replace
14	[BUG]  [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  Iterator  <  XYDataset>  iterator  =  dataset.iterator();  [CE]  generics  are  not  supported  in  -source  1.4  [FE]    java.lang.IllegalArgumentException:  Range(double    [CONTEXT]        [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  Iterator  <  XYDataset>  iterator  =  dataset.iterator();  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	                iterateDomainBounds(dataset,        false);        iterateRangeBounds(dataset,    true);    Iterator  <  XYDataset>  iterator  =  dataset.iterator();	  	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	9	None	add
15	[BUG]  [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  java.lang.IllegalArgumentException:  DatasetUtilities.checkArgument(iterateRangeBounds());  [CE]  not  a  statement  [FE]      java.lang.IllegalArgumentException:  Range(double    [CONTEXT]        [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  java.lang.IllegalArgumentException:  DatasetUtilities.checkArgument(iterateRangeBounds());  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	                iterateDomainBounds(dataset,        false);        iterateRangeBounds(dataset,    true);    java.lang.IllegalArgumentException:  DatasetUtilities.checkArgument(iterateRangeBounds());	  	non-compiled	[CE]  not  a  statement	9	None	add
16	[BUG]  [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  java.lang.IllegalArgumentException:  DatasetUtilities.checkNotNull(dataset);  [CE]  not  a  statement  [FE]        java.lang.IllegalArgumentException:  Range(double    [CONTEXT]        [BUGGY]          iterateDomainBounds(dataset,    false);    iterateRangeBounds(dataset,  true);  java.lang.IllegalArgumentException:  DatasetUtilities.checkNotNull(dataset);  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	                iterateDomainBounds(dataset,        false);        iterateRangeBounds(dataset,    true);    java.lang.IllegalArgumentException:  DatasetUtilities.checkNotNull(dataset);	  	non-compiled	[CE]  not  a  statement	9	None	add
17	[BUG]  [BUGGY]  [FE]  NullPointerException  [FE]    NullPointerException    [CONTEXT]        [BUGGY]          iterateDomainBounds(dataset,    false);    iterateDomainBounds(dataset,  true);  iterateRangeBounds(dataset,  false);  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	add	                iterateDomainBounds(dataset,        false);        iterateDomainBounds(dataset,    true);    iterateRangeBounds(dataset,  false);	  	compilable	  [FE]  NullPointerException  	24	2	add
18	[BUG]  [BUGGY]          iterateDomainBounds(dataset,    false);    iterateDomainBounds(dataset,  true);  iterateRangeBounds(dataset,  false);  [FE]  NullPointerException  [FE]    NullPointerException    [CONTEXT]        [BUGGY]          iterateDomainBounds(dataset,    false);    iterateDomainBounds(dataset,  true);  iterateRangeBounds(dataset,  false);  [BUGGY]      return  iterateDomainBounds(dataset,  true);  }  [CLASS]  DatasetUtilities  [METHOD]  iterateDomainBounds  [RETURN_TYPE]  Range  XYDataset  dataset  	projects/Chart2/source/org/jfree/data/general/DatasetUtilities.java	0.4082482904638631	726	726	2	replace	                iterateDomainBounds(dataset,        false);        iterateDomainBounds(dataset,    true);    iterateRangeBounds(dataset,  false);	  	compilable	  [FE]  NullPointerException  	24	2	add
