bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	patch
1	[BUG] [BUGGY] public KeyedObjects2D() { [FE] UnknownKeyException [CONTEXT] [BUGGY] public KeyedObjects2D() { [BUGGY] this.rowKeys = new java.util.ArrayList(); this.columnKeys = new java.util.ArrayList(); this.rows = new java.util.ArrayList(); } [CLASS] KeyedObjects2D [METHOD] <init> [RETURN_TYPE] KeyedObjects2D()  [VARIABLES] List columnKeys rowKeys rows long serialVersionUID boolean  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	74	74	6	
2	[BUG] [BUGGY] this.rowKeys = new java.util.ArrayList(); [FE] UnknownKeyException [CONTEXT] public KeyedObjects2D() { [BUGGY] this.rowKeys = new java.util.ArrayList(); [BUGGY] this.columnKeys = new java.util.ArrayList(); this.rows = new java.util.ArrayList(); } [CLASS] KeyedObjects2D [METHOD] <init> [RETURN_TYPE] KeyedObjects2D()  [VARIABLES] List columnKeys rowKeys rows long serialVersionUID boolean  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	75	75	6	
3	[BUG] [BUGGY] this.columnKeys = new java.util.ArrayList(); [FE] UnknownKeyException [CONTEXT] public KeyedObjects2D() { this.rowKeys = new java.util.ArrayList(); [BUGGY] this.columnKeys = new java.util.ArrayList(); [BUGGY] this.rows = new java.util.ArrayList(); } [CLASS] KeyedObjects2D [METHOD] <init> [RETURN_TYPE] KeyedObjects2D()  [VARIABLES] List columnKeys rowKeys rows long serialVersionUID boolean  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	76	76	6	
4	[BUG] [BUGGY] this.rows = new java.util.ArrayList(); [FE] UnknownKeyException [CONTEXT] public KeyedObjects2D() { this.rowKeys = new java.util.ArrayList(); this.columnKeys = new java.util.ArrayList(); [BUGGY] this.rows = new java.util.ArrayList(); [BUGGY] } [CLASS] KeyedObjects2D [METHOD] <init> [RETURN_TYPE] KeyedObjects2D()  [VARIABLES] List columnKeys rowKeys rows long serialVersionUID boolean  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	77	77	6	
5	[BUG] [BUGGY] } [FE] UnknownKeyException [CONTEXT] public KeyedObjects2D() { this.rowKeys = new java.util.ArrayList(); this.columnKeys = new java.util.ArrayList(); this.rows = new java.util.ArrayList(); [BUGGY] } [BUGGY]  [CLASS] KeyedObjects2D [METHOD] <init> [RETURN_TYPE] KeyedObjects2D()  [VARIABLES] List columnKeys rowKeys rows long serialVersionUID boolean  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	78	78	6	
6	[BUG] [BUGGY] if (rowKey == null) { [FE] UnknownKeyException [CONTEXT] public void setObject(Object object, Comparable rowKey, Comparable columnKey) { [BUGGY] if (rowKey == null) { [BUGGY] throw new IllegalArgumentException("Null 'rowKey' argument."); } if (columnKey == null) { throw new IllegalArgumentException("Null 'columnKey' argument."); } KeyedObjects row; int rowIndex = this.rowKeys.indexOf(rowKey); if (rowIndex >= 0) { row = (KeyedObjects) this.rows.get(rowIndex); } [CLASS] KeyedObjects2D [METHOD] setObject [RETURN_TYPE] void  Object object Comparable rowKey Comparable columnKey [VARIABLES] Comparable columnKey rowKey boolean KeyedObjects row List columnKeys rowKeys rows Object object long serialVersionUID int columnIndex rowIndex  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	262	262	6	
7	[BUG] [BUGGY] if (columnKey == null) { [FE] UnknownKeyException [CONTEXT] public void setObject(Object object, Comparable rowKey, Comparable columnKey) { if (rowKey == null) { throw new IllegalArgumentException("Null 'rowKey' argument."); } [BUGGY] if (columnKey == null) { [BUGGY] throw new IllegalArgumentException("Null 'columnKey' argument."); } KeyedObjects row; int rowIndex = this.rowKeys.indexOf(rowKey); if (rowIndex >= 0) { row = (KeyedObjects) this.rows.get(rowIndex); } else { this.rowKeys.add(rowKey); row = new KeyedObjects(); [CLASS] KeyedObjects2D [METHOD] setObject [RETURN_TYPE] void  Object object Comparable rowKey Comparable columnKey [VARIABLES] Comparable columnKey rowKey boolean KeyedObjects row List columnKeys rowKeys rows Object object long serialVersionUID int columnIndex rowIndex  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	265	265	6	
8	[BUG] [BUGGY] int rowIndex = this.rowKeys.indexOf(rowKey); [FE] UnknownKeyException [CONTEXT] public void setObject(Object object, Comparable rowKey, Comparable columnKey) { if (rowKey == null) { throw new IllegalArgumentException("Null 'rowKey' argument."); } if (columnKey == null) { throw new IllegalArgumentException("Null 'columnKey' argument."); } KeyedObjects row; [BUGGY] int rowIndex = this.rowKeys.indexOf(rowKey); [BUGGY] if (rowIndex >= 0) { row = (KeyedObjects) this.rows.get(rowIndex); } else { this.rowKeys.add(rowKey); row = new KeyedObjects(); this.rows.add(row); } row.setObject(columnKey, object); int columnIndex = this.columnKeys.indexOf(columnKey); [CLASS] KeyedObjects2D [METHOD] setObject [RETURN_TYPE] void  Object object Comparable rowKey Comparable columnKey [VARIABLES] Comparable columnKey rowKey boolean KeyedObjects row List columnKeys rowKeys rows Object object long serialVersionUID int columnIndex rowIndex  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	269	269	6	
9	[BUG] [BUGGY] if (rowIndex >= 0) { [FE] UnknownKeyException [CONTEXT] Comparable columnKey) { if (rowKey == null) { throw new IllegalArgumentException("Null 'rowKey' argument."); } if (columnKey == null) { throw new IllegalArgumentException("Null 'columnKey' argument."); } KeyedObjects row; int rowIndex = this.rowKeys.indexOf(rowKey); [BUGGY] if (rowIndex >= 0) { [BUGGY] row = (KeyedObjects) this.rows.get(rowIndex); } else { this.rowKeys.add(rowKey); row = new KeyedObjects(); this.rows.add(row); } row.setObject(columnKey, object); int columnIndex = this.columnKeys.indexOf(columnKey); if (columnIndex < 0) { [CLASS] KeyedObjects2D [METHOD] setObject [RETURN_TYPE] void  Object object Comparable rowKey Comparable columnKey [VARIABLES] Comparable columnKey rowKey boolean KeyedObjects row List columnKeys rowKeys rows Object object long serialVersionUID int columnIndex rowIndex  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	270	270	6	
10	[BUG] [BUGGY] this.rowKeys.add(rowKey); [FE] UnknownKeyException [CONTEXT] } if (columnKey == null) { throw new IllegalArgumentException("Null 'columnKey' argument."); } KeyedObjects row; int rowIndex = this.rowKeys.indexOf(rowKey); if (rowIndex >= 0) { row = (KeyedObjects) this.rows.get(rowIndex); } else { [BUGGY] this.rowKeys.add(rowKey); [BUGGY] row = new KeyedObjects(); this.rows.add(row); } row.setObject(columnKey, object); int columnIndex = this.columnKeys.indexOf(columnKey); if (columnIndex < 0) { this.columnKeys.add(columnKey); } } [CLASS] KeyedObjects2D [METHOD] setObject [RETURN_TYPE] void  Object object Comparable rowKey Comparable columnKey [VARIABLES] Comparable columnKey rowKey boolean KeyedObjects row List columnKeys rowKeys rows Object object long serialVersionUID int columnIndex rowIndex  	projects/Chart22/source/org/jfree/data/KeyedObjects2D.java	0.7385489458759964	274	274	6	
