bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  if(!(value  instanceof  Class  <?>))  {  if(!(value  instanceof  Class  <?>))  {  [CE]  illegal  start  of  expression  [FE]    junit.framework.ComparisonFailure:  expected:<[1[    [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(!(value  instanceof  Class  <?>))  {  if(!(value  instanceof  Class  <?>))  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(!(value    instanceof    Class    <?>))    {    if(!(value  instanceof  Class  <?>))  {	  	non-compiled	[CE]  illegal  start  of  expression	101	None	add
2	[BUG]  [BUGGY]  if(!(value  instanceof  Class  <?>))  {  If(!(value  instanceof  Class  <?>))  {  [CE]  ';'  expected  [FE]      junit.framework.ComparisonFailure:  expected:<[1[    [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(!(value  instanceof  Class  <?>))  {  If(!(value  instanceof  Class  <?>))  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(!(value    instanceof    Class    <?>))    {    If(!(value  instanceof  Class  <?>))  {	  	non-compiled	[CE]  ';'  expected	101	None	add
3	[BUG]  [BUGGY]  if(!(value  instanceof  Class  <?>))  {  if(!(value  instanceof  Category  <?>))  {  [CE]  illegal  start  of  expression  [FE]        junit.framework.ComparisonFailure:  expected:<[1[    [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(!(value  instanceof  Class  <?>))  {  if(!(value  instanceof  Category  <?>))  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(!(value    instanceof    Class    <?>))    {    if(!(value  instanceof  Category  <?>))  {	  	non-compiled	[CE]  illegal  start  of  expression	101	None	add
4	[BUG]  [BUGGY]  junit.framework.ComparisonFailure:  expected;  [CE]  not  a  statement  [FE]            junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  junit.framework.ComparisonFailure:  expected;  [BUGGY]      if  (option  instanceof  Argument)  {  addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	junit.framework.ComparisonFailure:  expected;	          this.defaultValues.put(option,    value);    junit.framework.ComparisonFailure:    expected;    	non-compiled	[CE]  not  a  statement	32	None	replace
5	[BUG]  [BUGGY]  this.defaultValues.put(option,  value);  if(junit.framework.ComparisonFailure!=  null)  {  expected  =  true;  }  [CE]  illegal  start  of  type  [FE]              junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  this.defaultValues.put(option,  value);  if(junit.framework.ComparisonFailure!=  null)  {  expected  =  true;  }  [BUGGY]      if  (option  instanceof  Argument)  {  addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	this.defaultValues.put(option,  value);  if(junit.framework.ComparisonFailure!=  null)  {  expected  =  true;  }	          this.defaultValues.put(option,    value);    junit.framework.ComparisonFailure:    expected;    	non-compiled	[CE]  illegal  start  of  type	32	None	replace
6	[BUG]  [BUGGY]  if(option  instanceof  ComparableFailure  ||  value  instanceof  Number)  {  [CE]  cannot  find  symbol  [FE]              junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(option  instanceof  ComparableFailure  ||  value  instanceof  Number)  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(option  instanceof  ComparableFailure  ||  value  instanceof  Number)  {	  if(option    instanceof    ComparableFailure)    {    	non-compiled	[CE]  cannot  find  symbol	43	None	replace
7	[BUG]  [BUGGY]  this.defaultSwitches.put(option,  new  Option(value),  this.defaultValues);  [CE]  illegal  start  of  type  [FE]                    junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  this.defaultSwitches.put(option,  new  Option(value),  this.defaultValues);  [BUGGY]      if  (option  instanceof  Argument)  {  addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	this.defaultSwitches.put(option,  new  Option(value),  this.defaultValues);	  this.defaultValues.put(option,    new    Option(value),    this.defaultSwitches);    	non-compiled	[CE]  illegal  start  of  type	90	None	replace
8	[BUG]  [BUGGY]  this.defaultValues.put(option,  new  Option(this.defaultSwitches),  value);  [CE]  illegal  start  of  type  [FE]                      junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  this.defaultValues.put(option,  new  Option(this.defaultSwitches),  value);  [BUGGY]      if  (option  instanceof  Argument)  {  addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	this.defaultValues.put(option,  new  Option(this.defaultSwitches),  value);	  this.defaultValues.put(option,    new    Option(value),    this.defaultSwitches);    	non-compiled	[CE]  illegal  start  of  type	90	None	replace
9	[BUG]  [BUGGY]  if(option  instanceof  Option  ||  value  instanceof  ComparisonFailure)  {  [CE]  cannot  find  symbol  [FE]        junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(option  instanceof  Option  ||  value  instanceof  ComparisonFailure)  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(option  instanceof  Option  ||  value  instanceof  ComparisonFailure)  {	  if(value    instanceof    Option    ||    value    instanceof    ComparisonFailure)    {    	non-compiled	[CE]  cannot  find  symbol	104	None	replace
10	[BUG]  [BUGGY]  if(value  instanceof  Option  ||  value  instanceof  ComparableFailure)  {  [CE]  cannot  find  symbol  [FE]          junit.framework.ComparisonFailure:  expected:<[1[      [CONTEXT]      public  void  addValue(final  Option  option,  final  Object  value)  {      [BUGGY]  if(value  instanceof  Option  ||  value  instanceof  ComparableFailure)  {  [BUGGY]      addOption(option);  }  List  valueList  =  (List)  values.get(option);  if  (valueList  ==  null)  {  valueList  =  new  ArrayList();  values.put(option,  valueList);  }  [CLASS]  WriteableCommandLineImpl  [METHOD]  addValue  [RETURN_TYPE]  void  Option  option  Object  value  [VARIABLES]  List  arguments  normalised  options  valueList  Option  option  Object  value  Set  prefixes  boolean  Map  defaultSwitches  defaultValues  nameToOption  optionToProperties  switches  values  	projects/Cli15/src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java	1.0	76	76	2	replace	if(value  instanceof  Option  ||  value  instanceof  ComparableFailure)  {	  if(value    instanceof    Option    ||    value    instanceof    ComparisonFailure)    {    	non-compiled	[CE]  cannot  find  symbol	104	None	replace
