bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  tokens.add(token,  stopAtNonOption);  [CE]  <identifier>  expected  [FE]          ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  tokens.add(token,  stopAtNonOption);  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	tokens.add(token,  stopAtNonOption);	      tokens.add(token);    	non-compiled	[CE]  <identifier>  expected	2	None	replace
2	[BUG]  [BUGGY]  tokens.add( "- "  +  token);  [CE]  <identifier>  expected  [FE]            ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  tokens.add( "- "  +  token);  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	tokens.add( "- "  +  token);	      tokens.add(token);    	non-compiled	[CE]  <identifier>  expected	2	None	replace
3	[BUG]  [BUGGY]  Iterator  <  String>  iter  =  options.values().iterator();  [CE]  <identifier>  expected  [FE]        ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  Iterator  <  String>  iter  =  options.values().iterator();  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	Iterator  <  String>  iter  =  options.values().iterator();	      Iterator    <    String>    iter    =    options.keySet().iterator();    	non-compiled	[CE]  <identifier>  expected	8	None	replace
4	[BUG]  [BUGGY]  List  <  String>  iter  =  options.keySet().iterator();  [CE]  <identifier>  expected  [FE]          ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  List  <  String>  iter  =  options.keySet().iterator();  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	List  <  String>  iter  =  options.keySet().iterator();	      Iterator    <    String>    iter    =    options.keySet().iterator();    	non-compiled	[CE]  <identifier>  expected	8	None	replace
5	[BUG]  [BUGGY]  if  (token.length()  ==  0  &&  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]        ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if  (token.length()  ==  0  &&  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if  (token.length()  ==  0  &&  options.hasOption(token))  {	  if    (token.length()    ==    2    &&    options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	10	None	replace
6	[BUG]  [BUGGY]  if  (token.length()  ==  1  &&  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]          ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if  (token.length()  ==  1  &&  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if  (token.length()  ==  1  &&  options.hasOption(token))  {	  if    (token.length()    ==    2    &&    options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	10	None	replace
7	[BUG]  [BUGGY]  if  (token.length()!=  0  ||  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]        ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if  (token.length()!=  0  ||  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if  (token.length()!=  0  ||  options.hasOption(token))  {	  if    (token.length()    >=    0    ||    options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	13	None	replace
8	[BUG]  [BUGGY]  if  (token.length()  >=  2  &&  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]          ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if  (token.length()  >=  2  &&  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if  (token.length()  >=  2  &&  options.hasOption(token))  {	  if    (token.length()!=    2    &&    options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	14	None	replace
9	[BUG]  [BUGGY]  if  (token.length()!=  0  &&  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]            ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if  (token.length()!=  0  &&  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if  (token.length()!=  0  &&  options.hasOption(token))  {	  if    (token.length()!=    2    &&    options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	14	None	replace
10	[BUG]  [BUGGY]  token  =(token.startsWith( "- ")||  token.startsWith( "- "))?  null  :  token;  [CE]  <identifier>  expected  [FE]              ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  token  =(token.startsWith( "- ")||  token.startsWith( "- "))?  null  :  token;  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	token  =(token.startsWith( "- ")||  token.startsWith( "- "))?  null  :  token;	      token    =(token.startsWith(   "-   ")||    token.startsWith(   "-   "))?    token    :    null;    	non-compiled	[CE]  <identifier>  expected	4	None	replace
11	[BUG]  [BUGGY]  Iterator  <  String>  iter  =  opt.iterator();  [CE]  <identifier>  expected  [FE]        ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  Iterator  <  String>  iter  =  opt.iterator();  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	Iterator  <  String>  iter  =  opt.iterator();	      Iterator    <    String>    iter    =    tokens.iterator();    	non-compiled	[CE]  <identifier>  expected	12	None	replace
12	[BUG]  [BUGGY]  Iterator  <  String>  iter  =  this.arguments.iterator();  [CE]  <identifier>  expected  [FE]            ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  Iterator  <  String>  iter  =  this.arguments.iterator();  [BUGGY]    if  (token.length()  ==  2  ||  options.hasOption(token))    {  {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	Iterator  <  String>  iter  =  this.arguments.iterator();	      Iterator    <    String>    iter    =    arguments.iterator();    	non-compiled	[CE]  <identifier>  expected	3	None	replace
13	[BUG]  [BUGGY]  if(options.hasOption(token)||  options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]          ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if(options.hasOption(token)||  options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if(options.hasOption(token)||  options.hasOption(token))  {	  if    (options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	11	None	replace
14	[BUG]  [BUGGY]  if(!options.hasOption(token))  {  [CE]  <identifier>  expected  [FE]            ComparisonFailure    [CONTEXT]    }  }  else  if  (   "-   ".equals(token))  {  tokens.add(token);  }  else  if  (token.startsWith(   "-   "))  {    [BUGGY]  if(!options.hasOption(token))  {  [BUGGY]    {  processOptionToken(token,  stopAtNonOption);  }  else  {  burstToken(token,  stopAtNonOption);  }  }  else  if  (stopAtNonOption)  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  Iterator  iter  List  tokens  String[]  arguments  String  opt  token  int  pos  	projects/Cli22/src/java/org/apache/commons/cli/PosixParser.java	0.3244428422615251	136	137	2	replace	if(!options.hasOption(token))  {	  if    (options.hasOption(token))    {    	non-compiled	[CE]  <identifier>  expected	11	None	replace
