bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputStartPosition);  [CE]  ';'  expected  [FE]                junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputStartPosition);  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  node.getSourceName(),  outputStartPosition);	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  ';'  expected	79	None	replace
2	[BUG]  [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputEndPosition);  [CE]  ';'  expected  [FE]                  junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputEndPosition);  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  node.getSourceName(),  outputEndPosition);	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  ';'  expected	79	None	replace
3	[BUG]  [BUGGY]  String  sourceFile  =  outputStartPosition.getSourceName();  [CE]  cannot  find  symbol  [FE]                    junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  outputStartPosition.getSourceName();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  outputStartPosition.getSourceName();	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  cannot  find  symbol	79	None	replace
4	[BUG]  [BUGGY]  String  sourceFile  =  node.getSourcePath();  [CE]  cannot  find  symbol  [FE]                      junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  node.getSourcePath();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  node.getSourcePath();	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  cannot  find  symbol	79	None	replace
5	[BUG]  [BUGGY]  String  sourceFile  =  outputEndPosition.getSourceName();  [CE]  cannot  find  symbol  [FE]                        junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  outputEndPosition.getSourceName();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  outputEndPosition.getSourceName();	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  cannot  find  symbol	79	None	replace
6	[BUG]  [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputStartPosition;  [CE]  cannot  find  symbol  [FE]                          junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  String  sourceFile  =  node.getSourceName(),  outputStartPosition;  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	String  sourceFile  =  node.getSourceName(),  outputStartPosition;	  String    sourceFile    =    node.getSourceName();    	non-compiled	[CE]  cannot  find  symbol	79	None	replace
7	[BUG]  [BUGGY]  Node  sourceFile  =  node.getFirstChild().getNext();  [CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;  [FE]                          junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  Node  sourceFile  =  node.getFirstChild().getNext();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	Node  sourceFile  =  node.getFirstChild().getNext();	  Node    sourceFile    =    node.getFirstChild();    	non-compiled	[CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;	123	None	replace
8	[BUG]  [BUGGY]  Node  sourceFile  =  node.getLastChild();  [CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;  [FE]                            junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  Node  sourceFile  =  node.getLastChild();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	Node  sourceFile  =  node.getLastChild();	  Node    sourceFile    =    node.getFirstChild();    	non-compiled	[CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;	123	None	replace
9	[BUG]  [BUGGY]  Node  sourceFile  =  node.getFirstChild(),  outputEndPosition);  [CE]  ';'  expected  [FE]                              junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  Node  sourceFile  =  node.getFirstChild(),  outputEndPosition);  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	Node  sourceFile  =  node.getFirstChild(),  outputEndPosition);	  Node    sourceFile    =    node.getFirstChild();    	non-compiled	[CE]  ';'  expected	123	None	replace
10	[BUG]  [BUGGY]  Node  sourceFile  =  node.getFirstChild(),  outputStartPosition);  [CE]  ';'  expected  [FE]                                junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  Node  sourceFile  =  node.getFirstChild(),  outputStartPosition);  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	Node  sourceFile  =  node.getFirstChild(),  outputStartPosition);	  Node    sourceFile    =    node.getFirstChild();    	non-compiled	[CE]  ';'  expected	123	None	replace
11	[BUG]  [BUGGY]  Node  sourceFile  =  node.getFirstChild().cloneTree();  [CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;  [FE]                                  junit.framework.ComparisonFailure:  null  expected:<...t     ":1      [CONTEXT]      FilePosition  outputEndPosition)  {      [BUGGY]  Node  sourceFile  =  node.getFirstChild().cloneTree();  [BUGGY]          if  (sourceFile  ==  null  ||  node.getLineno()  <  0)  {  return;  }  sourceFile  =  fixupSourceLocation(sourceFile);  [CLASS]  SourceMap  Format  1  2  3  4  DetailLevel  1  2  LocationMapping  [METHOD]  addMapping  [RETURN_TYPE]  void  Node  node  FilePosition  outputStartPosition  FilePosition  outputEndPosition  [VARIABLES]  Format  DEFAULT  V1  V2  V3  boolean  DetailLevel  ALL  SYMBOLS  Node  node  List  prefixMappings  String  originalName  prefix  replacement  sourceFile  SourceMapGenerator  generator  FilePosition  outputEndPosition  outputStartPosition  Map  sourceLocationFixupCache  	projects/Closure47/src/com/google/javascript/jscomp/SourceMap.java	0.9428090415820635	121	121	16	replace	Node  sourceFile  =  node.getFirstChild().cloneTree();	  Node    sourceFile    =    node.getFirstChild();    	non-compiled	[CE]  method  fixupSourceLocation  in  class  SourceMap  cannot  be  applied  to  given  types;	123	None	replace
