bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	action	patch
1	[BUG] [BUGGY] this(in, BLOCK_SIZE, encoding); [FE] AssertionError [CONTEXT] public CpioArchiveInputStream(final InputStream in, String encoding) { [BUGGY] this(in, BLOCK_SIZE, encoding); [BUGGY] } [CLASS] CpioArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream in String encoding [VARIABLES] byte[] FOUR_BYTES_BUF SIX_BYTES_BUF TWO_BYTES_BUF tmpbuf boolean closed entryEOF ZipEncoding zipEncoding InputStream in String encoding CpioArchiveEntry entry long crc entryBytesRead int blockSize  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java	0.8164965809277261	122	122	3	replace	
2	[BUG] [BUGGY] [FE] AssertionError [CONTEXT] public CpioArchiveInputStream(final InputStream in, String encoding) { [BUGGY] [BUGGY] this(in, BLOCK_SIZE, encoding); } [CLASS] CpioArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream in String encoding [VARIABLES] byte[] FOUR_BYTES_BUF SIX_BYTES_BUF TWO_BYTES_BUF tmpbuf boolean closed entryEOF ZipEncoding zipEncoding InputStream in String encoding CpioArchiveEntry entry long crc entryBytesRead int blockSize  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java	0.8164965809277261	122	122	3	add	
3	[BUG] [BUGGY] } [FE] AssertionError [CONTEXT] public CpioArchiveInputStream(final InputStream in, String encoding) { this(in, BLOCK_SIZE, encoding); [BUGGY] } [BUGGY]  [CLASS] CpioArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream in String encoding [VARIABLES] byte[] FOUR_BYTES_BUF SIX_BYTES_BUF TWO_BYTES_BUF tmpbuf boolean closed entryEOF ZipEncoding zipEncoding InputStream in String encoding CpioArchiveEntry entry long crc entryBytesRead int blockSize  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java	0.8164965809277261	123	123	3	replace	
4	[BUG] [BUGGY] [FE] AssertionError [CONTEXT] public CpioArchiveInputStream(final InputStream in, String encoding) { this(in, BLOCK_SIZE, encoding); [BUGGY] [BUGGY] } [CLASS] CpioArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream in String encoding [VARIABLES] byte[] FOUR_BYTES_BUF SIX_BYTES_BUF TWO_BYTES_BUF tmpbuf boolean closed entryEOF ZipEncoding zipEncoding InputStream in String encoding CpioArchiveEntry entry long crc entryBytesRead int blockSize  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java	0.8164965809277261	123	123	3	add	
5	[BUG] [BUGGY] this(is, TarConstants.DEFAULT_BLKSIZE, TarConstants.DEFAULT_RCDSIZE, encoding); [FE] AssertionError [CONTEXT] public TarArchiveInputStream(InputStream is, String encoding) { [BUGGY] this(is, TarConstants.DEFAULT_BLKSIZE, TarConstants.DEFAULT_RCDSIZE,    encoding); [BUGGY] encoding); } [CLASS] TarArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream is String encoding [VARIABLES] byte[] SMALL_BUF boolean hasHitEOF ZipEncoding zipEncoding InputStream is String encoding int SMALL_BUFFER_SIZE blockSize recordSize long entryOffset entrySize TarArchiveEntry currEntry  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java	0.8164965809277261	95	96	3	replace	
6	[BUG] [BUGGY] [FE] AssertionError [CONTEXT] public TarArchiveInputStream(InputStream is, String encoding) { [BUGGY] [BUGGY] this(is, TarConstants.DEFAULT_BLKSIZE, TarConstants.DEFAULT_RCDSIZE,    encoding); encoding); } [CLASS] TarArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream is String encoding [VARIABLES] byte[] SMALL_BUF boolean hasHitEOF ZipEncoding zipEncoding InputStream is String encoding int SMALL_BUFFER_SIZE blockSize recordSize long entryOffset entrySize TarArchiveEntry currEntry  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java	0.8164965809277261	95	96	3	add	
7	[BUG] [BUGGY] } [FE] AssertionError [CONTEXT] public TarArchiveInputStream(InputStream is, String encoding) { this(is, TarConstants.DEFAULT_BLKSIZE, TarConstants.DEFAULT_RCDSIZE, encoding); [BUGGY] } [BUGGY]  [CLASS] TarArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream is String encoding [VARIABLES] byte[] SMALL_BUF boolean hasHitEOF ZipEncoding zipEncoding InputStream is String encoding int SMALL_BUFFER_SIZE blockSize recordSize long entryOffset entrySize TarArchiveEntry currEntry  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java	0.8164965809277261	97	97	3	replace	
8	[BUG] [BUGGY] [FE] AssertionError [CONTEXT] public TarArchiveInputStream(InputStream is, String encoding) { this(is, TarConstants.DEFAULT_BLKSIZE, TarConstants.DEFAULT_RCDSIZE, encoding); [BUGGY] [BUGGY] } [CLASS] TarArchiveInputStream [METHOD] <init> [RETURN_TYPE] String)  InputStream is String encoding [VARIABLES] byte[] SMALL_BUF boolean hasHitEOF ZipEncoding zipEncoding InputStream is String encoding int SMALL_BUFFER_SIZE blockSize recordSize long entryOffset entrySize TarArchiveEntry currEntry  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java	0.8164965809277261	97	97	3	add	
9	[BUG] [BUGGY] if (entryEncoding != null) { [FE] AssertionError [CONTEXT] } if (in == null) { throw new IllegalArgumentException("InputStream must not be null."); } if (AR.equalsIgnoreCase(archiverName)) { return new ArArchiveInputStream(in); } if (ARJ.equalsIgnoreCase(archiverName)) { [BUGGY] if (entryEncoding != null) { [BUGGY] return new ArjArchiveInputStream(in, entryEncoding); } else { return new ArjArchiveInputStream(in); } } if (ZIP.equalsIgnoreCase(archiverName)) { if (entryEncoding != null) { return new ZipArchiveInputStream(in, entryEncoding); } else { return new ZipArchiveInputStream(in); [CLASS] ArchiveStreamFactory [METHOD] createArchiveInputStream [RETURN_TYPE] ArchiveInputStream  String archiverName InputStream in [VARIABLES] InputStream in String AR ARJ CPIO DUMP JAR SEVEN_Z TAR ZIP archiverName encoding entryEncoding boolean  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/ArchiveStreamFactory.java	0.5773502691896258	209	209	3	replace	
10	[BUG] [BUGGY] [FE] AssertionError [CONTEXT] } if (in == null) { throw new IllegalArgumentException("InputStream must not be null."); } if (AR.equalsIgnoreCase(archiverName)) { return new ArArchiveInputStream(in); } if (ARJ.equalsIgnoreCase(archiverName)) { [BUGGY] [BUGGY] if (entryEncoding != null) { return new ArjArchiveInputStream(in, entryEncoding); } else { return new ArjArchiveInputStream(in); } } if (ZIP.equalsIgnoreCase(archiverName)) { if (entryEncoding != null) { return new ZipArchiveInputStream(in, entryEncoding); } else { return new ZipArchiveInputStream(in); [CLASS] ArchiveStreamFactory [METHOD] createArchiveInputStream [RETURN_TYPE] ArchiveInputStream  String archiverName InputStream in [VARIABLES] InputStream in String AR ARJ CPIO DUMP JAR SEVEN_Z TAR ZIP archiverName encoding entryEncoding boolean  	projects/Compress29/src/main/java/org/apache/commons/compress/archivers/ArchiveStreamFactory.java	0.5773502691896258	209	209	3	add	
