bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  _reportUnicodeExtraFields(entry,  DEFLATER_BLOCK_SIG);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]            java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportUnicodeExtraFields(entry,  DEFLATER_BLOCK_SIG);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportUnicodeExtraFields(entry,  DEFLATER_BLOCK_SIG);	  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,    DEFLATER_BLOCK_SIG);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	81	None	replace
2	[BUG]  [BUGGY]  _reportUnicodeExtraFields(def,  DEFLATER_BLOCK_SIG);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]              java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportUnicodeExtraFields(def,  DEFLATER_BLOCK_SIG);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportUnicodeExtraFields(def,  DEFLATER_BLOCK_SIG);	  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,    DEFLATER_BLOCK_SIG);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	81	None	replace
3	[BUG]  [BUGGY]  _reportUnicodeExtraFields(entry.getMethod(),  DEFLATER_BLOCK_SIG);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportUnicodeExtraFields(entry.getMethod(),  DEFLATER_BLOCK_SIG);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportUnicodeExtraFields(entry.getMethod(),  DEFLATER_BLOCK_SIG);	  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,    DEFLATER_BLOCK_SIG);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	81	None	replace
4	[BUG]  [BUGGY]  _reportUnicodeExtraFields(entry.getName(),  DEFLATER_BLOCK_SIG);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                  java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportUnicodeExtraFields(entry.getName(),  DEFLATER_BLOCK_SIG);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportUnicodeExtraFields(entry.getName(),  DEFLATER_BLOCK_SIG);	  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,    DEFLATER_BLOCK_SIG);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	81	None	replace
5	[BUG]  [BUGGY]  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,  DEFLATER_BLOCK_SIG,  DEFLATED);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                    java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,  DEFLATER_BLOCK_SIG,  DEFLATED);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,  DEFLATER_BLOCK_SIG,  DEFLATED);	  _reportUnicodeExtraFields(DEFLATER_BLOCK_SIG,    DEFLATER_BLOCK_SIG);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	81	None	replace
6	[BUG]  [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed. ");  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                  java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed. ");  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportInvalidEOF( "UnicodeExtraFieldPolicy  closed. ");	  _reportInvalidEOF(   "UnicodeExtraFieldPolicy    closed   ");    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	58	None	replace
7	[BUG]  [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed ",  DEFLATED);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                    java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed ",  DEFLATED);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportInvalidEOF( "UnicodeExtraFieldPolicy  closed ",  DEFLATED);	  _reportInvalidEOF(   "UnicodeExtraFieldPolicy    closed   ");    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	58	None	replace
8	[BUG]  [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  entry.getName());  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                      java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  entry.getName());  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  entry.getName());	  _reportInvalidEOF(   "UnicodeExtraFieldPolicy    closed   ");    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	58	None	replace
9	[BUG]  [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  DEFLATED);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                        java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  DEFLATED);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportInvalidEOF( "UnicodeExtraFieldPolicy  closed: "  +  DEFLATED);	  _reportInvalidEOF(   "UnicodeExtraFieldPolicy    closed   ");    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	58	None	replace
10	[BUG]  [BUGGY]  _reportError( "UnicodeExtraFieldPolicy.closeArchiveEntry()  error: "  +  def);  [CE]  static  import  declarations  are  not  supported  in  -source  1.4  [FE]                java.io.IOException:  central  directory  is  empty      [CONTEXT]      public  void  closeArchiveEntry()  throws  IOException  {  if  (entry  ==  null)  {      [BUGGY]  _reportError( "UnicodeExtraFieldPolicy.closeArchiveEntry()  error: "  +  def);  [BUGGY]      }  long  realCrc  =  crc.getValue();  crc.reset();  if  (entry.getMethod()  ==  DEFLATED)  {  def.finish();  while  (!def.finished())  {  deflate();  }  [CLASS]  ZipArchiveOutputStream  UnicodeExtraFieldPolicy  [METHOD]  closeArchiveEntry  [RETURN_TYPE]  void  [VARIABLES]  ZipEncoding  zipEncoding  UnicodeExtraFieldPolicy  ALWAYS  NEVER  NOT_ENCODEABLE  b  createUnicodeExtraFields  CRC32  crc  OutputStream  o  out  String  DEFAULT_ENCODING  comment  encoding  n  name  int  BUFFER_SIZE  BYTE_MASK  DEFAULT_COMPRESSION  DEFLATED  DEFLATER_BLOCK_SIZE  EFS_FLAG  SHORT  STORED  WORD  level  method  long  cdLength  cdOffset  dataStart  localDataStart  realCrc  save  size  written  byte[]  CFH_SIG  DD_SIG  EOCD_SIG  LFH_SIG  LZERO  ZERO  buf  boolean  b  fallbackToUTF8  hasCompressionLevelChanged  useEFS  Deflater  def  RandomAccessFile  _raf  raf  ZipArchiveEntry  entry  List  entries  Map  offsets  	projects/Compress4/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java	0.9534625892455924	355	355	10	replace	_reportError( "UnicodeExtraFieldPolicy.closeArchiveEntry()  error: "  +  def);	  _reportError(   "UnicodeExtraFieldPolicy.closeArchiveEntry()    error:   "    +    DEFLATED);    	non-compiled	[CE]  static  import  declarations  are  not  supported  in  -source  1.4	62	None	replace
