name;suspiciousness_value
com.fasterxml.jackson.core.io$NumberInput#parseBigDecimal(java.lang.String):295;1.0
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):215;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):216;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):217;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):219;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):220;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):222;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):225;0.7071067811865475
com.fasterxml.jackson.core.util$TextBuffer#resetWithString(java.lang.String):227;0.7071067811865475
com.fasterxml.jackson.core.io$NumberInput#<clinit>():18;0.5
com.fasterxml.jackson.core.io$NumberInput#<clinit>():19;0.5
com.fasterxml.jackson.core.util$TextBuffer#contentsAsString():332;0.35355339059327373
com.fasterxml.jackson.core.util$TextBuffer#contentsAsString():366;0.35355339059327373
com.fasterxml.jackson.core.util$TextBuffer#TextBuffer(com.fasterxml.jackson.core.util.BufferRecycler):122;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#TextBuffer(com.fasterxml.jackson.core.util.BufferRecycler):85;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#TextBuffer(com.fasterxml.jackson.core.util.BufferRecycler):123;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#TextBuffer(com.fasterxml.jackson.core.util.BufferRecycler):124;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#<clinit>():29;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#releaseBuffers():137;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#releaseBuffers():140;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#releaseBuffers():149;0.31622776601683794
com.fasterxml.jackson.core.util$TextBuffer#releaseBuffers():138;0.0
