projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227break;
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){break;}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write(''');
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227elseif(escapeSingleQuote){break;}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(!escapeSingleQuote){break;}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write('');
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write('');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write('');}else{out.write(ch);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write('');}else{out.write('');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write('');out.write('');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write(''');if(escapeSingleQuote){out.write(''');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write(''');out.write(''');
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write(''');if(escapeSingleQuote||escapeSingleQuote){out.write(''');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227out.write(''');if(escapeSingleQuote){out.write(''');}else{out.write(''');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){break;}else{out.write(''');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote||escapeSingleQuote){break;}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write(''');out.write(''');}else{out.write(ch);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write(''');out.write(''');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write('');out.write(''');}else{out.write(ch);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){out.write(''');out.write(''');}else{break;}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java227if(escapeSingleQuote){break;}else{out.write(ch);}
