bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	action	patch
1	[BUG] [BUGGY] return (Double.isNaN(x) && Double.isNaN(y)) || x == y; [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double x, double y) { [BUGGY] return (Double.isNaN(x) && Double.isNaN(y)) || x == y; [BUGGY] } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double x double y [VARIABLES] boolean long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k n x y long SGN_MASK a b d result ret s OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	417	417	1	replace	
2	[BUG] [BUGGY] [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double x, double y) { [BUGGY] [BUGGY] return (Double.isNaN(x) && Double.isNaN(y)) || x == y; } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double x double y [VARIABLES] boolean long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k n x y long SGN_MASK a b d result ret s OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	417	417	1	add	
3	[BUG] [BUGGY] if ((x == null) || (y == null)) { [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { [BUGGY] if ((x == null) || (y == null)) { [BUGGY] return !((x == null) ^ (y == null)); } if (x.length != y.length) { return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	523	523	1	replace	
4	[BUG] [BUGGY] [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { [BUGGY] [BUGGY] if ((x == null) || (y == null)) { return !((x == null) ^ (y == null)); } if (x.length != y.length) { return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	523	523	1	add	
5	[BUG] [BUGGY] return !((x == null) ^ (y == null)); [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { [BUGGY] return !((x == null) ^ (y == null)); [BUGGY] } if (x.length != y.length) { return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	524	524	1	replace	
6	[BUG] [BUGGY] [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { [BUGGY] [BUGGY] return !((x == null) ^ (y == null)); } if (x.length != y.length) { return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	524	524	1	add	
7	[BUG] [BUGGY] if (x.length != y.length) { [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { return !((x == null) ^ (y == null)); } [BUGGY] if (x.length != y.length) { [BUGGY] return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	526	526	1	replace	
8	[BUG] [BUGGY] [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { return !((x == null) ^ (y == null)); } [BUGGY] [BUGGY] if (x.length != y.length) { return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	526	526	1	add	
9	[BUG] [BUGGY] return false; [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { return !((x == null) ^ (y == null)); } if (x.length != y.length) { [BUGGY] return false; [BUGGY] } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	527	527	1	replace	
10	[BUG] [BUGGY] [FE] AssertionFailedError testArrayEquals [CONTEXT] public static boolean equals(double[] x, double[] y) { if ((x == null) || (y == null)) { return !((x == null) ^ (y == null)); } if (x.length != y.length) { [BUGGY] [BUGGY] return false; } for (int i = 0; i < x.length; ++i) { if (!equals(x[i], y[i])) { return false; } } return true; } [CLASS] MathUtils OrderDirection [METHOD] equals [RETURN_TYPE] boolean  double[] x double[] y [VARIABLES] boolean double[] x y long[] FACTORIALS double EPSILON SAFE_MIN TWO_PI eps logSum result x y byte NB PB ZB short NS PS ZS int NAN_GAP i j k maxUlps n x y long SGN_MASK a b d result ret s xInt yInt OrderDirection DECREASING INCREASING  	projects/Math63/src/main/java/org/apache/commons/math/util/MathUtils.java	1.0	527	527	1	add	
