bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]    while(t0  >  maxCheckInterval)  {  handler  =  handler.next;  [CE]  illegal  start  of  expression  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    while(t0  >  maxCheckInterval)  {  handler  =  handler.next;  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	replace	    while(t0  >  maxCheckInterval)  {  handler  =  handler.next;		non-compiled	[CE]  illegal  start  of  expression	20	None	add
2	[BUG]  [BUGGY]  [FE]  MathRuntimeException$4  closeEvents  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    pendingEventTime  =  EventHandler.CONTINUE;  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	add	    pendingEventTime  =  EventHandler.CONTINUE;		compilable	  [FE]  MathRuntimeException$4  closeEvents	20	1
3	[BUG]  [BUGGY]    pendingEventTime  =  EventHandler.CONTINUE;  [FE]  MathRuntimeException$4  closeEvents  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    pendingEventTime  =  EventHandler.CONTINUE;  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	replace	    pendingEventTime  =  EventHandler.CONTINUE;		compilable	  [FE]  MathRuntimeException$4  closeEvents	20	1	add
3	[BUG]  [BUGGY]    while(t0  >  maxCheckInterval)  {  t0  =  handler.next;  [CE]  illegal  start  of  expression  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    while(t0  >  maxCheckInterval)  {  t0  =  handler.next;  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	replace	    while(t0  >  maxCheckInterval)  {  t0  =  handler.next;		non-compiled	[CE]  illegal  start  of  expression	20	None	add
4	[BUG]  [BUGGY]    while(t0  >  maxIterationCount)  {  t0  =  handler.next;  [CE]  illegal  start  of  expression  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    while(t0  >  maxIterationCount)  {  t0  =  handler.next;  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	replace	    while(t0  >  maxIterationCount)  {  t0  =  handler.next;		non-compiled	[CE]  illegal  start  of  expression	20	None	add
5	[BUG]  [BUGGY]    while(t0  >  maxCheckInterval)  {  t0  =  handler.next();  [CE]  illegal  start  of  expression  [CONTEXT]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [BUGGY]    while(t0  >  maxCheckInterval)  {  t0  =  handler.next();  [BUGGY]  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  nextAction=  EventHandler.CONTINUE;  }  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	106	106	1	replace	    while(t0  >  maxCheckInterval)  {  t0  =  handler.next();		non-compiled	[CE]  illegal  start  of  expression	20	None	add
12	[BUG]  [BUGGY]  this.convergence  =  Math.abs(convergence,  maxCheckInterval);  [CE]  no  suitable  method  found  for  abs(double,double)  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]  this.convergence  =  Math.abs(convergence,  maxCheckInterval);  [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	replace	this.convergence  =  Math.abs(convergence,  maxCheckInterval);	this.convergence  =  Math.abs(convergence);  	non-compiled	[CE]  no  suitable  method  found  for  abs(double,double)	7	None	replace
13	[BUG]  [BUGGY]  [FE]  AssertionFailedError  closeEvents  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]  this.convergence  =  Math.abs(convergence  -  1);  [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	add	this.convergence  =  Math.abs(convergence  -  1);	this.convergence  =  Math.abs(convergence);  	compilable	  [FE]  AssertionFailedError  closeEvents	7	1
14	[BUG]  [BUGGY]  this.convergence  =  Math.abs(convergence  -  1);  [FE]  AssertionFailedError  closeEvents  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]  this.convergence  =  Math.abs(convergence  -  1);  [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	replace	this.convergence  =  Math.abs(convergence  -  1);	this.convergence  =  Math.abs(convergence);  	compilable	  [FE]  AssertionFailedError  closeEvents	7	1	replace
14	[BUG]  [BUGGY]  [FE]  AssertionFailedError  closeEvents  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]  this.convergence  =  Math.abs(convergence  +  1);  [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	add	this.convergence  =  Math.abs(convergence  +  1);	this.convergence  =  Math.abs(convergence);  	compilable	  [FE]  AssertionFailedError  closeEvents	7	1
15	[BUG]  [BUGGY]  this.convergence  =  Math.abs(convergence  +  1);  [FE]  AssertionFailedError  closeEvents  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]  this.convergence  =  Math.abs(convergence  +  1);  [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	replace	this.convergence  =  Math.abs(convergence  +  1);	this.convergence  =  Math.abs(convergence);  	compilable	  [FE]  AssertionFailedError  closeEvents	7	1	replace
15	[BUG]  [BUGGY]    [CE]  variable  convergence  might  not  have  been  initialized  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  final  double  convergence,  final  int  maxIterationCount)  {  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  [BUGGY]    [BUGGY]  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  pendingEventTime=  Double.NaN;  previousEventTime  =  Double.NaN;  increasing=  true;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	98	98	1	replace	  	this.convergence  =  Math.abs(convergence);  	non-compiled	[CE]  variable  convergence  might  not  have  been  initialized	7	None	replace
22	[BUG]  [BUGGY]  timeout  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  [BUGGY]  final  int  convergence,  final  int  maxIterationCount)  {  [BUGGY]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	95	95	1	add	final  int  convergence,  final  int  maxIterationCount)  {	final  double  convergence,  final  int  maxIterationCount)  {  	compilable	timeout	1	1
23	[BUG]  [BUGGY]  final  int  convergence,  final  int  maxIterationCount)  {  timeout  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  [BUGGY]  final  int  convergence,  final  int  maxIterationCount)  {  [BUGGY]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	95	95	1	replace	final  int  convergence,  final  int  maxIterationCount)  {	final  double  convergence,  final  int  maxIterationCount)  {  	compilable	timeout	1	1	replace
23	[BUG]  [BUGGY]  timeout  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  [BUGGY]  final  Double  convergence,  final  int  maxIterationCount)  {  [BUGGY]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	95	95	1	add	final  Double  convergence,  final  int  maxIterationCount)  {	final  double  convergence,  final  int  maxIterationCount)  {  	compilable	timeout	1	1
24	[BUG]  [BUGGY]  final  Double  convergence,  final  int  maxIterationCount)  {  timeout  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  [BUGGY]  final  Double  convergence,  final  int  maxIterationCount)  {  [BUGGY]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	95	95	1	replace	final  Double  convergence,  final  int  maxIterationCount)  {	final  double  convergence,  final  int  maxIterationCount)  {  	compilable	timeout	1	1	replace
24	[BUG]  [BUGGY]  static  final  double  convergence,  final  int  maxIterationCount)  {  [CE]  modifier  static  not  allowed  here  [CONTEXT]  public  EventState(final  EventHandler  handler,  final  double  maxCheckInterval,  [BUGGY]  static  final  double  convergence,  final  int  maxIterationCount)  {  [BUGGY]  this.handler  =  handler;  this.maxCheckInterval=  maxCheckInterval;  this.convergence  =  Math.abs(convergence);  this.maxIterationCount  =  maxIterationCount;  t0=  Double.NaN;  g0=  Double.NaN;  g0Positive=  true;  pendingEvent=  false;  [CLASS]  EventState  1  [METHOD]  <init>  [RETURN_TYPE]  EventHandler,double,double,int)  EventHandler  handler  final  double  maxCheckInterval  final  double  convergence  final  int  maxIterationCount  [VARIABLES]  EventHandler  handler  boolean  forward  g0Positive  increasing  pendingEvent  double  convergence  g0  maxCheckInterval  pendingEventTime  previousEventTime  t0  int  maxIterationCount  nextAction  	projects/Math78/src/main/java/org/apache/commons/math/ode/events/EventState.java	1.0	95	95	1	replace	static  final  double  convergence,  final  int  maxIterationCount)  {	final  double  convergence,  final  int  maxIterationCount)  {  	non-compiled	[CE]  modifier  static  not  allowed  here	1	None	replace
