bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  cCache  =  new  TreeMap  <  String,  DurationFieldType>();  [CE]  [FE]        AssertionFailedError    [CONTEXT]      [BUGGY]  cCache  =  new  TreeMap  <  String,  DurationFieldType>();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	cCache  =  new  TreeMap  <  String,  DurationFieldType>();	      cCache    =    new    HashMap    <    String,    DurationFieldType>();    	non-compiled	[CE]  	6	None	replace
2	[BUG]  [BUGGY]  cCache  =  new  TreeMap  <  DurationFieldType>();  [CE]  [FE]            AssertionFailedError    [CONTEXT]      [BUGGY]  cCache  =  new  TreeMap  <  DurationFieldType>();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	cCache  =  new  TreeMap  <  DurationFieldType>();	      cCache    =    new    HashMap    <    DurationFieldType>();    	non-compiled	[CE]  	3	None	replace
3	[BUG]  [BUGGY]  this.cache  =  new  LinkedHashMap  <  String,  DurationFieldType>();  [CE]  [FE]        AssertionFailedError    [CONTEXT]      [BUGGY]  this.cache  =  new  LinkedHashMap  <  String,  DurationFieldType>();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	this.cache  =  new  LinkedHashMap  <  String,  DurationFieldType>();	      this.cache    =    new    HashMap    <    String,    DurationFieldType>();    	non-compiled	[CE]  	7	None	replace
4	[BUG]  [BUGGY]  this.cache  =  new  LinkedHashMap  <  String,DurationField>();  [CE]  [FE]            AssertionFailedError    [CONTEXT]      [BUGGY]  this.cache  =  new  LinkedHashMap  <  String,DurationField>();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	this.cache  =  new  LinkedHashMap  <  String,DurationField>();	      this.cache    =    new    HashMap    <    String,DurationField>();    	non-compiled	[CE]  	9	None	replace
5	[BUG]  [BUGGY]  cCache  =  new  TreeMap  <  DurationFieldType,  DurationFieldType>();  [CE]  [FE]        AssertionFailedError    [CONTEXT]      [BUGGY]  cCache  =  new  TreeMap  <  DurationFieldType,  DurationFieldType>();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	cCache  =  new  TreeMap  <  DurationFieldType,  DurationFieldType>();	      cCache    =    new    HashMap    <    DurationFieldType,    DurationFieldType>();    	non-compiled	[CE]  	1	None	replace
6	[BUG]  [BUGGY]  this(null,  null);  [CE]  [FE]          AssertionFailedError    [CONTEXT]      [BUGGY]  this(null,  null);  [BUGGY]    iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	this(null,  null);	  this(type,    null);    	non-compiled	[CE]  	5	None	replace
7	[BUG]  [BUGGY]  this(type,  null,  null);  [CE]  [FE]            AssertionFailedError    [CONTEXT]      [BUGGY]  this(type,  null,  null);  [BUGGY]    iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	this(type,  null,  null);	  this(type,    null);    	non-compiled	[CE]  	5	None	replace
8	[BUG]  [BUGGY]  this.cache  =  new  LinkedHashMap();  [CE]  [FE]          AssertionFailedError    [CONTEXT]      [BUGGY]  this.cache  =  new  LinkedHashMap();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	this.cache  =  new  LinkedHashMap();	      this.cache    =    new    HashMap();    	non-compiled	[CE]  	8	None	replace
9	[BUG]  [BUGGY]  cCache  =  new  HashMap();  [CE]  [FE]          AssertionFailedError    [CONTEXT]      [BUGGY]  cCache  =  new  HashMap();  [BUGGY]    private  UnsupportedDurationField(DurationFieldType  type)  {  iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	cCache  =  new  HashMap();	      cCache    =    getCache();    	non-compiled	[CE]  	2	None	replace
10	[BUG]  [BUGGY]  super(iType);  [CE]  [FE]        AssertionFailedError    [CONTEXT]      [BUGGY]  super(iType);  [BUGGY]    iType  =  type;  }  [CLASS]  UnsupportedDurationField  [METHOD]  <init>  [RETURN_TYPE]  DurationFieldType)  DurationFieldType  type  [VARIABLES]  boolean  HashMap  cCache  long  serialVersionUID  DurationFieldType  iType  type  	projects/Time1/src/main/java/org/joda/time/field/UnsupportedDurationField.java	0.22360679774997896	70	70	1	replace	super(iType);	  super(type);    	non-compiled	[CE]  	4	None	replace
